id,subject,body,sender,label,main_principle
162,Последний шанс сохранить доступ,Окно подтверждения скоро закроется. Только первые пользователи сохранят доступ без штрафа. Перейдите по ссылке: http://secure-reset.top/auth.,support@account-check.info,1,Scarcity
27,Отчёт по практике,"Добрый день! Напоминаем, что завтра в 10:00 состоится занятие в аудитории 302. Возьмите, пожалуйста, конспект.",hr@company.local,0,None
1,Информация о занятиях,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору. Ссылка для входа: https://portal.university.kz.",it_support@campus.kz,0,None
46,Изменения в графике,Уважаемый студент! Доступ к учебному порталу работает штатно. Для смены пароля используйте внутренний кабинет. Ссылка для входа: https://lms.edu.kz.,dekanat@university.kz,0,None
150,Подтверждение заявки,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней. Ссылка для входа: https://lms.edu.kz.,group.curator@university.kz,0,None
264,Осталось 2 места на подтверждение,Это последнее ограниченное предложение. После окончания времени ссылка станет недоступна.,helpdesk@secure-portal-login.xyz,1,Scarcity
100,Проверка доступа к порталу,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",teacher.portal@edu.kz,0,None
57,Материалы к лекции,Поздравляем! Вы успешно завершили модуль. Сертификат будет доступен в системе после проверки преподавателя. Ссылка для входа: https://portal.university.kz.,library@university.kz,0,None
250,Вы выиграли премию,"Поздравляем! Вам начислен бонус. Чтобы получить награду, подтвердите карту и пароль для перевода. Перейдите по ссылке: http://secure-reset.top/auth.",boss-request@instant-action.click,1,Greed
237,Распоряжение финансового отдела,Ректор просит без обсуждений выполнить инструкцию и переслать данные доступа. Перейдите по ссылке: http://fast-check.help/confirm. ОТВЕТ НУЖЕН СЕЙЧАС!!!,security-alert@verify-now.help,1,Authority
135,Обновление расписания,"Коллеги, прикрепляем материалы к лекции и план работ на неделю. Никаких срочных действий не требуется.",registrar@university.kz,0,None
115,Материалы к лекции,Здравствуйте! Ваша заявка принята и будет обработана в течение двух рабочих дней.,hr@company.local,0,None
93,Проверка доступа к порталу,"Здравствуйте! Просим до конца недели загрузить обычный отчёт в портал. Если возникнут вопросы, обратитесь к куратору.",dekanat@university.kz,0,None
278,Обнаружено НАРУШЕНИЕ безопасности!!!,"Если не пройти верификацию, возможна блокировка аккаунта и потеря всех документов. Перейдите по ссылке: http://verify-account-now.xyz/login.",finance@urgent-wallet.net,1,Fear
